symbol,type
ED,MF
FBALX,MF
FDRXX,MF
FFNOX,MF
FNARX,MF
FRESX,MF
FSUTX,MF
FTBFX,MF
FXAIX,MF
MWTRX,MF
RNP,MF
VBLAX,MF
AAPL,STOCK
TSLA,STOCK

